Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,12/18/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36802136,2.408346205,2.449429365,2.490512526,2.530811558,2.582592527,2.656997396,2.845942245,2.915764642,2.97622251,3.034524723,3.063176334,3.089646486,3.131098949,3.156359736,3.188769256,3.210998314,4.577921926,4.543117531,4.668194275,4.792427327,4.868128861,4.881812885,4.917537761,4.93752807,4.954675302,,
Afghanistan,AFG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,22.69353128,25.41730293,28.14107458,30.86484624,33.58861789,36.31238954,39.03616119,41.75993284,44.48370449,47.20747614,49.93124779,52.65501944,55.37879109,54.25489251,53.13099393,52.00709534,50.88117376,49.75676942,48.63236509,47.50796076,46.38355642,45.25915209,44.13474775,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,43.01590668,,
Africa Western and Central,AFW,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.736781917,0.805783107,0.851124843,0.896188664,0.929330617,0.97082128,1.019350645,1.067880011,1.115790967,1.16370395,1.209228265,1.259343849,1.305621217,1.351809192,1.40203074,1.440471755,1.462288441,1.484105128,1.509503703,1.524508689,1.538369123,1.552299896,1.566236239,1.580172581,1.584774943,1.589510164,1.593677374,1.597907794,1.61523142,1.619296792,1.612628676,1.687728398,1.697610027,1.697610027,,
Angola,AGO,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324324324,0.332661123,0.340997921,0.349334719,0.357671518,0.366008316,0.374345114,0.382681913,0.391018711,0.399355509,0.407692308,0.416029106,0.424365904,0.432702703,0.441527027,0.450351351,0.459175676,0.468,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,0.476824324,,
Albania,ALB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.460966543,4.430408922,4.399851301,4.36929368,4.338736059,4.308178439,4.812936803,5.317695167,5.822453532,6.327211896,6.83197026,6.507286245,6.18260223,5.857918216,5.533234201,5.208550186,4.730185874,4.638438662,4.54669145,4.454944238,4.363197026,4.271449814,4.179702602,4.08795539,3.996208178,3.420074349,4.059479554,4.055762082,3.56133829,4.204460967,2.921933086,,
Andorra,AND,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.8127332,181.0165506,183.9132632,203.7255493,195.9904591,216.4315203,216.4597173,,
United Arab Emirates,ARE,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,,,,,600,653.6888889,707.3777778,761.0666667,814.7555555,868.4444445,922.1333333,975.8222222,1029.511111,1083.2,1028.222222,1052.311111,1076.4,1100.488889,1124.577778,1148.666667,1254.813333,1360.96,1467.106667,1573.253333,1555.866667,1527.928889,1499.991111,1472.053333,1669.36,1866.666667,1849.636364,1832.606061,1815.575758,1798.545455,1781.515152,1764.484848,1747.454545,1730.424242,1713.393939,1696.363636,1679.333333,1630,1667.333333,1628.666667,1587.333333,,
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,,,,,,,,,,,,,,,,,9.452054795,9.4697062,9.487357606,9.505009012,9.522660418,9.540311824,9.55796323,9.575614636,9.593366979,9.610917448,9.628695025,9.64622026,9.663871665,9.681687094,9.699111392,9.716825883,9.734477289,9.752128695,9.769780101,9.787431507,9.909857877,10.03228425,10.15471062,10.27713699,10.39956336,10.62750778,10.85545221,11.08339664,11.31134106,11.53928549,11.76722992,11.99517435,12.22311877,12.4510632,12.67900763,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,12.90753425,,
